player_id,draw,court,serve_period,x,y,ev
1,1,Deuce,1,5.2,3.5,0.17914293685274618
1,1,Deuce,2,4.9,3.1000000000000005,-0.11512687077312345
1,1,Ad,1,4.800000000000001,-3.3,0.09233426397573075
1,1,Ad,1,5.1,-1.2000000000000002,0.041875779051951
1,1,Ad,2,5.1,-2.8,-0.22144336747922078
1,2,Deuce,1,5.1,3.6000000000000005,0.2518247205152299
1,2,Deuce,2,5,1.3,-0.10446387371013144
1,2,Deuce,2,5.1,2.9000000000000004,-0.11971449928117606
1,2,Ad,1,4.800000000000001,-3.4,0.1569629944614696
1,2,Ad,1,5,-0.7999999999999998,0.11226567401688292
1,2,Ad,2,5.2,-1.2000000000000002,-0.1995301329175343
1,3,Deuce,1,5.2,3.3,0.09787260466300385
1,3,Deuce,2,5.2,1.5000000000000002,-0.24436826092882868
1,3,Ad,1,4.9,-3.3,0.12631052576541468
1,3,Ad,1,5,-1.0999999999999996,0.0928725374982951
1,3,Ad,2,5,-2.2,-0.13937352475810194
1,4,Deuce,1,5,3.3,0.13033288897316597
1,4,Deuce,2,5.1,2.8,-0.27994685688981447
1,4,Ad,1,4.9,-3.3,0.07317114632076455
1,4,Ad,1,5,-1.2999999999999998,0.03435071201533729
1,4,Ad,2,5.1,-2.5,-0.23499825193301593
1,5,Deuce,1,5.1,3.5,0.2943056072543247
1,5,Deuce,1,5.300000000000001,0.8,0.12891494804907477
1,5,Deuce,2,5.1,3.3,0.028176721144799854
1,5,Deuce,2,5.2,1.0000000000000002,-0.062180841850509316
1,5,Ad,1,4.800000000000001,-3.4,0.1726152746916002
1,5,Ad,1,5.1,-0.5999999999999996,0.14495901204134834
1,5,Ad,2,5,-1.0999999999999996,-0.06765730788931967
1,6,Deuce,1,5.1,3.4000000000000004,0.16117702022567076
1,6,Deuce,1,5.300000000000001,1.0000000000000002,0.06764059064652353
1,6,Deuce,2,5,3.2,-0.15532179970780235
1,6,Ad,1,4.800000000000001,-3.5,0.16617620906040353
1,6,Ad,1,5.1,-0.7000000000000002,0.11302055342754402
1,6,Ad,2,5.1,-3,-0.12271213075211429
1,7,Deuce,1,5.1,3.6000000000000005,0.20968006671862244
1,7,Deuce,2,4.9,3.1000000000000005,-0.1168880456471244
1,7,Ad,1,4.800000000000001,-3.4,0.1036514028957885
1,7,Ad,1,5.1,-0.8999999999999995,0.05359379534357073
1,7,Ad,2,5,-1.2000000000000002,-0.2176174730537973
1,8,Deuce,1,5.2,3.5,0.2372423703372028
1,8,Deuce,1,5.2,1.1000000000000003,0.11260640219376994
1,8,Deuce,2,5,3,-0.08302093717635683
1,8,Ad,1,4.5,-3.4,0.20869117547381816
1,8,Ad,1,5.1,-0.8999999999999995,0.11580219420849985
1,8,Ad,2,5.1,-3.2,-0.1614421915964449
1,9,Deuce,1,5.1,3.4000000000000004,0.282480279773958
1,9,Deuce,2,5.2,3,-0.1582577401441897
1,9,Deuce,2,5.2,1.4000000000000001,-0.15857424592878633
1,9,Ad,1,4.6,-3.6,0.26350500943068383
1,9,Ad,1,5.2,-0.7000000000000002,0.16192802451320815
1,9,Ad,2,4.6,-0.8999999999999995,0.005537097965595539
1,9,Ad,2,5.1,-3,-0.18809658253620498
1,10,Deuce,1,5.2,3.6000000000000005,0.1413461600260691
1,10,Deuce,2,4.800000000000001,3.1000000000000005,-0.2333802332634919
1,10,Ad,1,4.800000000000001,-3.5,0.13889447387485865
1,10,Ad,1,5.1,-0.7999999999999998,0.09323950583336149
1,10,Ad,2,4.6,-2.8,-0.11307535144040104
1,11,Deuce,1,5.1,3.5,0.17234382464144127
1,11,Deuce,2,5,3.1000000000000005,-0.1757559551810185
1,11,Deuce,2,5,1.4000000000000001,-0.21171229516197154
1,11,Ad,1,4.800000000000001,-3.4,0.1344822974384824
1,11,Ad,1,5.1,-0.8999999999999995,0.08170555682537342
1,11,Ad,2,4.9,-3,-0.16028487353189091
1,12,Deuce,1,5.1,3.3,0.16009817931390952
1,12,Deuce,2,5.2,3,-0.21008050465245243
1,12,Ad,1,4.9,-3.4,0.11094909509304962
1,12,Ad,1,5.1,-1,0.06352641109912677
1,12,Ad,2,5.2,-2.9,-0.2262709503299739
1,13,Deuce,1,5.1,3.3,0.14934766843649677
1,13,Deuce,2,5.2,2.9000000000000004,-0.22113875877181444
1,13,Ad,1,4.9,-3.4,0.16505516455856875
1,13,Ad,1,5.1,-0.7999999999999998,0.13275755051745017
1,13,Ad,2,4.800000000000001,-1.2999999999999998,-0.05024968755555104
