player_id,serve_period,court,x,y,wp
1,1,Ad,0,-4.1,0.87956
1,1,Ad,0,-4,0.87583
1,1,Ad,0,-3.9,0.872368
1,1,Ad,0,-3.8,0.869118
1,1,Ad,0,-3.7,0.865976
1,1,Ad,0,-3.6,0.862818
1,1,Ad,0,-3.5,0.859538
1,1,Ad,0,-3.4,0.856039
1,1,Ad,0,-3.3,0.852238
1,1,Ad,0,-3.2,0.848084
1,1,Ad,0,-3.1,0.843574
1,1,Ad,0,-3,0.83874
1,1,Ad,0,-2.9,0.833644
1,1,Ad,0,-2.8,0.828401
1,1,Ad,0,-2.7,0.82315
1,1,Ad,0,-2.6,0.818068
1,1,Ad,0,-2.5,0.813328
1,1,Ad,0,-2.4,0.809079
1,1,Ad,0,-2.3,0.805493
1,1,Ad,0,-2.2,0.802692
1,1,Ad,0,-2.1,0.800772
1,1,Ad,0,-2,0.799792
1,1,Ad,0,-1.9,0.799728
1,1,Ad,0,-1.8,0.80055
1,1,Ad,0,-1.7,0.802223
1,1,Ad,0,-1.6,0.804623
1,1,Ad,0,-1.5,0.807553
1,1,Ad,0,-1.4,0.810765
1,1,Ad,0,-1.3,0.814056
1,1,Ad,0,-1.2,0.817228
1,1,Ad,0,-1.1,0.82008
1,1,Ad,0,-1,0.822468
1,1,Ad,0,-0.9,0.824302
1,1,Ad,0,-0.8,0.825555
1,1,Ad,0,-0.7,0.826238
1,1,Ad,0,-0.6,0.826399
1,1,Ad,0,-0.5,0.826114
1,1,Ad,0,-0.4,0.825509
1,1,Ad,0,-0.3,0.824724
1,1,Ad,0,-0.2,0.823896
1,1,Ad,0,-0.1,0.823135
1,1,Ad,0,0,0.822499
1,1,Ad,0.1,-4.1,0.883934
1,1,Ad,0.1,-4,0.880387
1,1,Ad,0.1,-3.9,0.877139
1,1,Ad,0.1,-3.8,0.874129
1,1,Ad,0.1,-3.7,0.871235
1,1,Ad,0.1,-3.6,0.868328
1,1,Ad,0.1,-3.5,0.865272
1,1,Ad,0.1,-3.4,0.861952
1,1,Ad,0.1,-3.3,0.858275
1,1,Ad,0.1,-3.2,0.854184
1,1,Ad,0.1,-3.1,0.849676
1,1,Ad,0.1,-3,0.844783
1,1,Ad,0.1,-2.9,0.839578
1,1,Ad,0.1,-2.8,0.834183
1,1,Ad,0.1,-2.7,0.828762
1,1,Ad,0.1,-2.6,0.823505
1,1,Ad,0.1,-2.5,0.818598
1,1,Ad,0.1,-2.4,0.814227
1,1,Ad,0.1,-2.3,0.81057
1,1,Ad,0.1,-2.2,0.807748
1,1,Ad,0.1,-2.1,0.80586
1,1,Ad,0.1,-2,0.804979
1,1,Ad,0.1,-1.9,0.80511
1,1,Ad,0.1,-1.8,0.806217
1,1,Ad,0.1,-1.7,0.808224
1,1,Ad,0.1,-1.6,0.810983
1,1,Ad,0.1,-1.5,0.81428
1,1,Ad,0.1,-1.4,0.817856
1,1,Ad,0.1,-1.3,0.821447
1,1,Ad,0.1,-1.2,0.824848
1,1,Ad,0.1,-1.1,0.827853
1,1,Ad,0.1,-1,0.830304
1,1,Ad,0.1,-0.9,0.832102
1,1,Ad,0.1,-0.8,0.833212
1,1,Ad,0.1,-0.7,0.833656
1,1,Ad,0.1,-0.6,0.833499
1,1,Ad,0.1,-0.5,0.832842
1,1,Ad,0.1,-0.4,0.831825
1,1,Ad,0.1,-0.3,0.830614
1,1,Ad,0.1,-0.2,0.82937
1,1,Ad,0.1,-0.1,0.828226
1,1,Ad,0.1,0,0.827261
1,1,Ad,0.2,-4.1,0.888351
1,1,Ad,0.2,-4,0.884987
1,1,Ad,0.2,-3.9,0.881965
1,1,Ad,0.2,-3.8,0.879192
1,1,Ad,0.2,-3.7,0.876546
1,1,Ad,0.2,-3.6,0.873881
1,1,Ad,0.2,-3.5,0.871044
1,1,Ad,0.2,-3.4,0.8679
1,1,Ad,0.2,-3.3,0.864341
1,1,Ad,0.2,-3.2,0.860312
1,1,Ad,0.2,-3.1,0.855812
1,1,Ad,0.2,-3,0.850876
1,1,Ad,0.2,-2.9,0.845582
1,1,Ad,0.2,-2.8,0.840071
1,1,Ad,0.2,-2.7,0.834522
1,1,Ad,0.2,-2.6,0.829136
1,1,Ad,0.2,-2.5,0.824115
1,1,Ad,0.2,-2.4,0.819665
1,1,Ad,0.2,-2.3,0.815968
1,1,Ad,0.2,-2.2,0.813173
1,1,Ad,0.2,-2.1,0.811385
1,1,Ad,0.2,-2,0.810658
1,1,Ad,0.2,-1.9,0.811025
1,1,Ad,0.2,-1.8,0.81244
1,1,Ad,0.2,-1.7,0.814792
1,1,Ad,0.2,-1.6,0.817898
1,1,Ad,0.2,-1.5,0.821531
1,1,Ad,0.2,-1.4,0.825421
1,1,Ad,0.2,-1.3,0.829277
1,1,Ad,0.2,-1.2,0.832867
1,1,Ad,0.2,-1.1,0.835973
1,1,Ad,0.2,-1,0.838435
1,1,Ad,0.2,-0.9,0.840146
1,1,Ad,0.2,-0.8,0.841068
1,1,Ad,0.2,-0.7,0.84123
1,1,Ad,0.2,-0.6,0.840714
1,1,Ad,0.2,-0.5,0.839649
1,1,Ad,0.2,-0.4,0.838193
1,1,Ad,0.2,-0.3,0.83653
1,1,Ad,0.2,-0.2,0.834843
1,1,Ad,0.2,-0.1,0.833288
1,1,Ad,0.2,0,0.831965
1,1,Ad,0.3,-4.1,0.892744
1,1,Ad,0.3,-4,0.889558
1,1,Ad,0.3,-3.9,0.886743
1,1,Ad,0.3,-3.8,0.884197
1,1,Ad,0.3,-3.7,0.881779
1,1,Ad,0.3,-3.6,0.879333
1,1,Ad,0.3,-3.5,0.87669299999999994
1,1,Ad,0.3,-3.4,0.873704
1,1,Ad,0.3,-3.3,0.87025
1,1,Ad,0.3,-3.2,0.866272
1,1,Ad,0.3,-3.1,0.861779
1,1,Ad,0.3,-3,0.856808
1,1,Ad,0.3,-2.9,0.851444
1,1,Ad,0.3,-2.8,0.845842
1,1,Ad,0.3,-2.7,0.8402
1,1,Ad,0.3,-2.6,0.83473
1,1,Ad,0.3,-2.5,0.829652
1,1,Ad,0.3,-2.4,0.825177
1,1,Ad,0.3,-2.3,0.821497
1,1,Ad,0.3,-2.2,0.818781
1,1,Ad,0.3,-2.1,0.817138
1,1,Ad,0.3,-2,0.81663
1,1,Ad,0.3,-1.9,0.817273
1,1,Ad,0.3,-1.8,0.81901
1,1,Ad,0.3,-1.7,0.821703
1,1,Ad,0.3,-1.6,0.825136
1,1,Ad,0.3,-1.5,0.829073
1,1,Ad,0.3,-1.4,0.833229
1,1,Ad,0.3,-1.3,0.837305
1,1,Ad,0.3,-1.2,0.841036
1,1,Ad,0.3,-1.1,0.844199
1,1,Ad,0.3,-1,0.846622
1,1,Ad,0.3,-0.9,0.848197
1,1,Ad,0.3,-0.8,0.848888
1,1,Ad,0.3,-0.7,0.848735
1,1,Ad,0.3,-0.6,0.847835
1,1,Ad,0.3,-0.5,0.846342
1,1,Ad,0.3,-0.4,0.844433
1,1,Ad,0.3,-0.3,0.842308
1,1,Ad,0.3,-0.2,0.840171
1,1,Ad,0.3,-0.1,0.838197
1,1,Ad,0.3,0,0.836496
1,1,Ad,0.4,-4.1,0.897009
1,1,Ad,0.4,-4,0.893991
1,1,Ad,0.4,-3.9,0.891358
1,1,Ad,0.4,-3.8,0.889001
1,1,Ad,0.4,-3.7,0.886774
1,1,Ad,0.4,-3.6,0.884506
1,1,Ad,0.4,-3.5,0.882022
1,1,Ad,0.4,-3.4,0.879153
1,1,Ad,0.4,-3.3,0.875776
1,1,Ad,0.4,-3.2,0.871833
1,1,Ad,0.4,-3.1,0.867338
1,1,Ad,0.4,-3,0.862326
1,1,Ad,0.4,-2.9,0.856894
1,1,Ad,0.4,-2.8,0.85122
1,1,Ad,0.4,-2.7,0.84551
1,1,Ad,0.4,-2.6,0.839991
1,1,Ad,0.4,-2.5,0.834896
1,1,Ad,0.4,-2.4,0.830448
1,1,Ad,0.4,-2.3,0.826849
1,1,Ad,0.4,-2.2,0.82427
1,1,Ad,0.4,-2.1,0.82282
1,1,Ad,0.4,-2,0.822568
1,1,Ad,0.4,-1.9,0.823512
1,1,Ad,0.4,-1.8,0.825571
1,1,Ad,0.4,-1.7,0.828587
1,1,Ad,0.4,-1.6,0.832337
1,1,Ad,0.4,-1.5,0.836555
1,1,Ad,0.4,-1.4,0.840945
1,1,Ad,0.4,-1.3,0.845196
1,1,Ad,0.4,-1.2,0.849024
1,1,Ad,0.4,-1.1,0.852199
1,1,Ad,0.4,-1,0.854547
1,1,Ad,0.4,-0.9,0.855953
1,1,Ad,0.4,-0.8,0.856387
1,1,Ad,0.4,-0.7,0.855902
1,1,Ad,0.4,-0.6,0.854609
1,1,Ad,0.4,-0.5,0.852684
1,1,Ad,0.4,-0.4,0.850322
1,1,Ad,0.4,-0.3,0.847744
1,1,Ad,0.4,-0.2,0.845169
1,1,Ad,0.4,-0.1,0.84279
1,1,Ad,0.4,0,0.840734
1,1,Ad,0.5,-4.1,0.90106
1,1,Ad,0.5,-4,0.898172
1,1,Ad,0.5,-3.9,0.895675
1,1,Ad,0.5,-3.8,0.893456
1,1,Ad,0.5,-3.7,0.891362
1,1,Ad,0.5,-3.6,0.889215
1,1,Ad,0.5,-3.5,0.886826
1,1,Ad,0.5,-3.4,0.884024
1,1,Ad,0.5,-3.3,0.88068
1,1,Ad,0.5,-3.2,0.876739
1,1,Ad,0.5,-3.1,0.872215
1,1,Ad,0.5,-3,0.86715
1,1,Ad,0.5,-2.9,0.861652
1,1,Ad,0.5,-2.8,0.855905
1,1,Ad,0.5,-2.7,0.850143
1,1,Ad,0.5,-2.6,0.844598
1,1,Ad,0.5,-2.5,0.839515
1,1,Ad,0.5,-2.4,0.83513
1,1,Ad,0.5,-2.3,0.831651
1,1,Ad,0.5,-2.2,0.829248
1,1,Ad,0.5,-2.1,0.828031
1,1,Ad,0.5,-2,0.828061
1,1,Ad,0.5,-1.9,0.829314
1,1,Ad,0.5,-1.8,0.831696
1,1,Ad,0.5,-1.7,0.835027
1,1,Ad,0.5,-1.6,0.839073
1,1,Ad,0.5,-1.5,0.843554
1,1,Ad,0.5,-1.4,0.848155
1,1,Ad,0.5,-1.3,0.852553
1,1,Ad,0.5,-1.2,0.856445
1,1,Ad,0.5,-1.1,0.859602
1,1,Ad,0.5,-1,0.861855
1,1,Ad,0.5,-0.9,0.863083
1,1,Ad,0.5,-0.8,0.863264
1,1,Ad,0.5,-0.7,0.862441
1,1,Ad,0.5,-0.6,0.860766
1,1,Ad,0.5,-0.5,0.858421
1,1,Ad,0.5,-0.4,0.85563
1,1,Ad,0.5,-0.3,0.852629
1,1,Ad,0.5,-0.2,0.849656
1,1,Ad,0.5,-0.1,0.846914
1,1,Ad,0.5,0,0.844536
1,1,Ad,0.6,-4.1,0.904799
1,1,Ad,0.6,-4,0.901991
1,1,Ad,0.6,-3.9,0.899567
1,1,Ad,0.6,-3.8,0.897419
1,1,Ad,0.6,-3.7,0.895385
1,1,Ad,0.6,-3.6,0.893279
1,1,Ad,0.6,-3.5,0.890914
1,1,Ad,0.6,-3.4,0.888113
1,1,Ad,0.6,-3.3,0.88474
1,1,Ad,0.6,-3.2,0.880742
1,1,Ad,0.6,-3.1,0.876153
1,1,Ad,0.6,-3,0.871013
1,1,Ad,0.6,-2.9,0.865438
1,1,Ad,0.6,-2.8,0.859617
1,1,Ad,0.6,-2.7,0.853803
1,1,Ad,0.6,-2.6,0.848234
1,1,Ad,0.6,-2.5,0.843177
1,1,Ad,0.6,-2.4,0.838873
1,1,Ad,0.6,-2.3,0.835531
1,1,Ad,0.6,-2.2,0.833318
1,1,Ad,0.6,-2.1,0.832347
1,1,Ad,0.6,-2,0.832662
1,1,Ad,0.6,-1.9,0.834227
1,1,Ad,0.6,-1.8,0.836926
1,1,Ad,0.6,-1.7,0.840564
1,1,Ad,0.6,-1.6,0.844894
1,1,Ad,0.6,-1.5,0.849622
1,1,Ad,0.6,-1.4,0.85442
1,1,Ad,0.6,-1.3,0.858951
1,1,Ad,0.6,-1.2,0.862906
1,1,Ad,0.6,-1.1,0.866039
1,1,Ad,0.6,-1,0.868191
1,1,Ad,0.6,-0.9,0.869257
1,1,Ad,0.6,-0.8,0.869198
1,1,Ad,0.6,-0.7,0.868069
1,1,Ad,0.6,-0.6,0.866035
1,1,Ad,0.6,-0.5,0.863308
1,1,Ad,0.6,-0.4,0.860135
1,1,Ad,0.6,-0.3,0.856769
1,1,Ad,0.6,-0.2,0.853459
1,1,Ad,0.6,-0.1,0.85042
1,1,Ad,0.6,0,0.847792
1,1,Ad,0.7,-4.1,0.908132
1,1,Ad,0.7,-4,0.905336
1,1,Ad,0.7,-3.9,0.902919
1,1,Ad,0.7,-3.8,0.900763
1,1,Ad,0.7,-3.7,0.898705
1,1,Ad,0.7,-3.6,0.896555
1,1,Ad,0.7,-3.5,0.894132
1,1,Ad,0.7,-3.4,0.891258
1,1,Ad,0.7,-3.3,0.887786
1,1,Ad,0.7,-3.2,0.883668
1,1,Ad,0.7,-3.1,0.878952
1,1,Ad,0.7,-3,0.873694
1,1,Ad,0.7,-2.9,0.868017
1,1,Ad,0.7,-2.8,0.862111
1,1,Ad,0.7,-2.7,0.856231
1,1,Ad,0.7,-2.6,0.850629
1,1,Ad,0.7,-2.5,0.845587
1,1,Ad,0.7,-2.4,0.841357
1,1,Ad,0.7,-2.3,0.838144
1,1,Ad,0.7,-2.2,0.836115
1,1,Ad,0.7,-2.1,0.835377
1,1,Ad,0.7,-2,0.835964
1,1,Ad,0.7,-1.9,0.837828
1,1,Ad,0.7,-1.8,0.840831
1,1,Ad,0.7,-1.7,0.844764
1,1,Ad,0.7,-1.6,0.849367
1,1,Ad,0.7,-1.5,0.854332
1,1,Ad,0.7,-1.4,0.859305
1,1,Ad,0.7,-1.3,0.863959
1,1,Ad,0.7,-1.2,0.867984
1,1,Ad,0.7,-1.1,0.871125
1,1,Ad,0.7,-1,0.873204
1,1,Ad,0.7,-0.9,0.874122
1,1,Ad,0.7,-0.8,0.873873
1,1,Ad,0.7,-0.7,0.872504
1,1,Ad,0.7,-0.6,0.870181
1,1,Ad,0.7,-0.5,0.867137
1,1,Ad,0.7,-0.4,0.863652
1,1,Ad,0.7,-0.3,0.859999
1,1,Ad,0.7,-0.2,0.856436
1,1,Ad,0.7,-0.1,0.853184
1,1,Ad,0.7,0,0.850398
1,1,Ad,0.8,-4.1,0.910984
1,1,Ad,0.8,-4,0.908129
1,1,Ad,0.8,-3.9,0.905639
1,1,Ad,0.8,-3.8,0.903391
1,1,Ad,0.8,-3.7,0.901221
1,1,Ad,0.8,-3.6,0.898944
1,1,Ad,0.8,-3.5,0.896379
1,1,Ad,0.8,-3.4,0.893342
1,1,Ad,0.8,-3.3,0.889696
1,1,Ad,0.8,-3.2,0.885391
1,1,Ad,0.8,-3.1,0.880476
1,1,Ad,0.8,-3,0.875037
1,1,Ad,0.8,-2.9,0.869215
1,1,Ad,0.8,-2.8,0.863194
1,1,Ad,0.8,-2.7,0.857219
1,1,Ad,0.8,-2.6,0.85156
1,1,Ad,0.8,-2.5,0.846508
1,1,Ad,0.8,-2.4,0.842319
1,1,Ad,0.8,-2.3,0.839204
1,1,Ad,0.8,-2.2,0.837327
1,1,Ad,0.8,-2.1,0.83679
1,1,Ad,0.8,-2,0.837617
1,1,Ad,0.8,-1.9,0.839748
1,1,Ad,0.8,-1.8,0.843034
1,1,Ad,0.8,-1.7,0.847248
1,1,Ad,0.8,-1.6,0.852108
1,1,Ad,0.8,-1.5,0.857296
1,1,Ad,0.8,-1.4,0.862441
1,1,Ad,0.8,-1.3,0.867202
1,1,Ad,0.8,-1.2,0.871301
1,1,Ad,0.8,-1.1,0.874475
1,1,Ad,0.8,-1,0.876534
1,1,Ad,0.8,-0.9,0.877377
1,1,Ad,0.8,-0.8,0.87699800000000006
1,1,Ad,0.8,-0.7,0.875471
1,1,Ad,0.8,-0.6,0.872962
1,1,Ad,0.8,-0.5,0.869716
1,1,Ad,0.8,-0.4,0.866026
1,1,Ad,0.8,-0.3,0.862189
1,1,Ad,0.8,-0.2,0.858478
1,1,Ad,0.8,-0.1,0.855117
1,1,Ad,0.8,0,0.852266
1,1,Ad,0.9,-4.1,0.913296
1,1,Ad,0.9,-4,0.910308
1,1,Ad,0.9,-3.9,0.907662
1,1,Ad,0.9,-3.8,0.905233
1,1,Ad,0.9,-3.7,0.902863
