player_id,serve_period,court,x,y,wp
1,1,Deuce,0,0,0.838519
1,1,Deuce,0,0.1,0.842794
1,1,Deuce,0,0.2,0.847128
1,1,Deuce,0,0.3,0.851452
1,1,Deuce,0,0.4,0.855659
1,1,Deuce,0,0.5,0.859634
1,1,Deuce,0,0.6,0.863283
1,1,Deuce,0,0.7,0.866527
1,1,Deuce,0,0.8,0.869315
1,1,Deuce,0,0.9,0.871631
1,1,Deuce,0,1,0.873491
1,1,Deuce,0,1.1,0.874944
1,1,Deuce,0,1.2,0.876066
1,1,Deuce,0,1.3,0.876951
1,1,Deuce,0,1.4,0.877702
1,1,Deuce,0,1.5,0.878424
1,1,Deuce,0,1.6,0.879215
1,1,Deuce,0,1.7,0.880152
1,1,Deuce,0,1.8,0.881305
1,1,Deuce,0,1.9,0.882707
1,1,Deuce,0,2,0.884365
1,1,Deuce,0,2.1,0.886256
1,1,Deuce,0,2.2,0.888313
1,1,Deuce,0,2.3,0.890464
1,1,Deuce,0,2.4,0.892637
1,1,Deuce,0,2.5,0.894731
1,1,Deuce,0,2.6,0.896627
1,1,Deuce,0,2.7,0.898198
1,1,Deuce,0,2.8,0.899365
1,1,Deuce,0,2.9,0.900069
1,1,Deuce,0,3,0.900259
1,1,Deuce,0,3.1,0.89994
1,1,Deuce,0,3.2,0.899176
1,1,Deuce,0,3.3,0.898101
1,1,Deuce,0,3.4,0.896872
1,1,Deuce,0,3.5,0.895646
1,1,Deuce,0,3.6,0.894556
1,1,Deuce,0,3.7,0.893814
1,1,Deuce,0,3.8,0.893627
1,1,Deuce,0,3.9,0.89415
1,1,Deuce,0,4,0.895444
1,1,Deuce,0,4.1,0.897435
1,1,Deuce,0.1,0,0.838712
1,1,Deuce,0.1,0.1,0.843186
1,1,Deuce,0.1,0.2,0.847736
1,1,Deuce,0.1,0.3,0.852286
1,1,Deuce,0.1,0.4,0.856713
1,1,Deuce,0.1,0.5,0.860896
1,1,Deuce,0.1,0.6,0.86472
1,1,Deuce,0.1,0.7,0.868098
1,1,Deuce,0.1,0.8,0.870971
1,1,Deuce,0.1,0.9,0.873332
1,1,Deuce,0.1,1,0.875204
1,1,Deuce,0.1,1.1,0.876645
1,1,Deuce,0.1,1.2,0.877748
1,1,Deuce,0.1,1.3,0.878626
1,1,Deuce,0.1,1.4,0.879399
1,1,Deuce,0.1,1.5,0.880186
1,1,Deuce,0.1,1.6,0.8811
1,1,Deuce,0.1,1.7,0.882235
1,1,Deuce,0.1,1.8,0.883664
1,1,Deuce,0.1,1.9,0.885419
1,1,Deuce,0.1,2,0.887502
1,1,Deuce,0.1,2.1,0.889888
1,1,Deuce,0.1,2.2,0.89251
1,1,Deuce,0.1,2.3,0.89528
1,1,Deuce,0.1,2.4,0.898097
1,1,Deuce,0.1,2.5,0.900838
1,1,Deuce,0.1,2.6,0.90336
1,1,Deuce,0.1,2.7,0.905524
1,1,Deuce,0.1,2.8,0.907212
1,1,Deuce,0.1,2.9,0.908352
1,1,Deuce,0.1,3,0.908892
1,1,Deuce,0.1,3.1,0.908832
1,1,Deuce,0.1,3.2,0.908233
1,1,Deuce,0.1,3.3,0.907206
1,1,Deuce,0.1,3.4,0.905926
1,1,Deuce,0.1,3.5,0.904566
1,1,Deuce,0.1,3.6,0.903296
1,1,Deuce,0.1,3.7,0.902305
1,1,Deuce,0.1,3.8,0.901838
1,1,Deuce,0.1,3.9,0.902075
1,1,Deuce,0.1,4,0.903099
1,1,Deuce,0.1,4.1,0.904879
1,1,Deuce,0.2,0,0.838649
1,1,Deuce,0.2,0.1,0.843305
1,1,Deuce,0.2,0.2,0.84806
1,1,Deuce,0.2,0.3,0.85281
1,1,Deuce,0.2,0.4,0.857431
1,1,Deuce,0.2,0.5,0.861787
1,1,Deuce,0.2,0.6,0.865752
1,1,Deuce,0.2,0.7,0.86923
1,1,Deuce,0.2,0.8,0.872156
1,1,Deuce,0.2,0.9,0.874525
1,1,Deuce,0.2,1,0.876387
1,1,Deuce,0.2,1.1,0.877805
1,1,Deuce,0.2,1.2,0.878879
1,1,Deuce,0.2,1.3,0.879747
1,1,Deuce,0.2,1.4,0.880549
1,1,Deuce,0.2,1.5,0.881421
1,1,Deuce,0.2,1.6,0.882487
1,1,Deuce,0.2,1.7,0.883852
1,1,Deuce,0.2,1.8,0.885594
1,1,Deuce,0.2,1.9,0.887752
1,1,Deuce,0.2,2,0.890328
1,1,Deuce,0.2,2.1,0.893279
1,1,Deuce,0.2,2.2,0.896539
1,1,Deuce,0.2,2.3,0.900004
1,1,Deuce,0.2,2.4,0.903545
1,1,Deuce,0.2,2.5,0.907013
1,1,Deuce,0.2,2.6,0.910246
1,1,Deuce,0.2,2.7,0.913084
1,1,Deuce,0.2,2.8,0.915388
1,1,Deuce,0.2,2.9,0.917064
1,1,Deuce,0.2,3,0.918053
1,1,Deuce,0.2,3.1,0.91835
1,1,Deuce,0.2,3.2,0.918007
1,1,Deuce,0.2,3.3,0.917129
1,1,Deuce,0.2,3.4,0.915883
1,1,Deuce,0.2,3.5,0.914454
1,1,Deuce,0.2,3.6,0.913035
1,1,Deuce,0.2,3.7,0.911841
1,1,Deuce,0.2,3.8,0.9111
1,1,Deuce,0.2,3.9,0.911008
1,1,Deuce,0.2,4,0.911687
1,1,Deuce,0.2,4.1,0.913143
1,1,Deuce,0.3,0,0.838272
1,1,Deuce,0.3,0.1,0.843089
1,1,Deuce,0.3,0.2,0.848013
1,1,Deuce,0.3,0.3,0.852931
1,1,Deuce,0.3,0.4,0.857704
1,1,Deuce,0.3,0.5,0.86219
1,1,Deuce,0.3,0.6,0.866256
1,1,Deuce,0.3,0.7,0.869792
1,1,Deuce,0.3,0.8,0.872733
1,1,Deuce,0.3,0.9,0.875082
1,1,Deuce,0.3,1,0.876906
1,1,Deuce,0.3,1.1,0.878285
1,1,Deuce,0.3,1.2,0.879326
1,1,Deuce,0.3,1.3,0.880183
1,1,Deuce,0.3,1.4,0.881023
1,1,Deuce,0.3,1.5,0.881997
1,1,Deuce,0.3,1.6,0.88324
1,1,Deuce,0.3,1.7,0.884868
1,1,Deuce,0.3,1.8,0.886963
1,1,Deuce,0.3,1.9,0.88957
1,1,Deuce,0.3,2,0.892686
1,1,Deuce,0.3,2.1,0.896265
1,1,Deuce,0.3,2.2,0.900223
1,1,Deuce,0.3,2.3,0.904441
1,1,Deuce,0.3,2.4,0.908767
1,1,Deuce,0.3,2.5,0.913028
1,1,Deuce,0.3,2.6,0.917042
1,1,Deuce,0.3,2.7,0.92063
1,1,Deuce,0.3,2.8,0.923634
1,1,Deuce,0.3,2.9,0.925937
1,1,Deuce,0.3,3,0.927473
1,1,Deuce,0.3,3.1,0.928225
1,1,Deuce,0.3,3.2,0.928232
1,1,Deuce,0.3,3.3,0.927595
1,1,Deuce,0.3,3.4,0.92647
1,1,Deuce,0.3,3.5,0.925048
1,1,Deuce,0.3,3.6,0.923536
1,1,Deuce,0.3,3.7,0.922171
1,1,Deuce,0.3,3.8,0.921169
1,1,Deuce,0.3,3.9,0.920729
1,1,Deuce,0.3,4,0.921015
1,1,Deuce,0.3,4.1,0.922042
1,1,Deuce,0.4,0,0.837497
1,1,Deuce,0.4,0.1,0.842452
1,1,Deuce,0.4,0.2,0.847507
1,1,Deuce,0.4,0.3,0.852543
1,1,Deuce,0.4,0.4,0.857418
1,1,Deuce,0.4,0.5,0.861981
1,1,Deuce,0.4,0.6,0.866098
1,1,Deuce,0.4,0.7,0.869648
1,1,Deuce,0.4,0.8,0.872568
1,1,Deuce,0.4,0.9,0.874872
1,1,Deuce,0.4,1,0.876639
1,1,Deuce,0.4,1.1,0.877956
